"X","Y","Z","GpsTime"
584350.102,5402795.741,2505.110,124647571.750
584355.259,5402921.852,2521.560,124647573.137
584326.361,5403170.393,2443.310,124647574.752
584481.323,5403153.142,2435.440,124647576.971
584595.577,5403192.510,2399.790,124647578.978
584718.141,5403396.632,2965.150,124647584.193
584699.239,5403704.739,2266.340,124647585.003
584845.928,5403589.640,2331.130,124647586.470
584969.662,5403476.517,2391.600,124647587.553
584826.729,5403734.872,2231.960,124647587.640
584852.911,5403708.107,2271.870,124647587.850
584866.737,5403821.792,2235.000,124647589.048
584978.608,5403719.361,2311.060,124647590.596
585075.051,5404016.211,2213.490,124647594.861
585236.673,5403853.307,2308.480,124647595.861
585088.432,5404115.827,2195.270,124647596.247
585204.782,5404049.893,2234.070,124647597.339
585366.519,5403985.620,2308.830,124647599.034
585270.069,5404195.550,2235.000,124647599.592
585495.871,5404111.391,2295.930,124647601.948
585494.440,5404244.757,2273.500,124647603.392
585612.931,5404122.757,2339.070,124647603.747
585623.182,5404248.602,2302.850,124647604.850
585480.470,5404641.530,2158.400,124647606.860
585647.780,5404501.630,2235.000,124647607.719
585747.028,5404381.067,2308.940,124647608.052
585745.899,5404500.731,2257.290,124647608.739
585877.622,5404383.512,2334.370,124647610.161
585737.509,5404655.861,2194.560,124647610.224
585878.731,5404506.869,2281.890,124647611.085
585867.497,5404654.012,2230.400,124647612.196
585883.937,5404634.188,2251.790,124647612.321
585737.728,5404906.780,2159.140,124647612.723
586011.311,5404512.670,2303.920,124647613.072
586016.351,5404638.532,2286.660,124647614.344
586004.250,5404773.993,2256.690,124647615.166
586138.807,5404770.529,2264.760,124647616.787
585994.167,5405035.750,2207.150,124647617.231
586130.289,5404910.121,2248.170,124647617.763
586482.692,5405439.729,2223.820,124647626.476
586775.062,5405309.931,2336.960,124647628.556
586748.480,5405572.111,2325.220,124647630.518
586753.463,5405693.240,2266.730,124647631.320
587027.318,5405833.940,2136.930,124647636.413
587142.552,5406088.640,2048.290,124647640.388
587147.770,5406350.700,1907.690,124647642.331
587263.278,5405957.868,2039.950,124647771.031
587006.720,5406128.470,2030.060,124647771.543
587151.310,5405959.378,2082.810,124647772.121
586877.699,5405667.668,2235.120,124647777.974
586796.282,5405704.991,2225.330,124647778.354
586898.187,5405562.830,2279.290,124647779.068
586400.281,5405604.097,2362.450,124647783.809
586377.832,5405324.362,2204.840,124647787.819
586367.961,5405309.820,2879.630,124647789.138
586350.069,5405207.361,2230.210,124647790.262
586273.583,5405167.038,2228.610,124647791.710
585981.743,5405306.013,2159.590,124647793.184
586133.901,5405014.970,2235.010,124647795.713
586125.358,5404918.349,2231.940,124647796.941
586005.182,5404896.648,2244.640,124647798.811
585923.640,5404767.397,2235.010,124647801.725
585606.313,5404772.481,2165.880,124647805.177
585677.872,5404595.790,2235.040,124647807.100
585472.357,5404531.073,2171.500,124647810.567
585622.821,5404376.539,2276.180,124647811.805
585478.082,5404396.127,2217.680,124647813.738
585493.222,5404374.142,2246.160,124647814.030
585371.689,5404244.140,2240.890,124647818.024
585362.592,5404241.237,2224.960,124647818.155
585094.391,5404374.102,2136.270,124647819.003
585364.859,5404106.482,2269.290,124647821.032
585215.151,5404107.937,2224.850,124647823.113
585153.323,5404078.257,2235.020,124647824.522
585104.217,5403847.440,2289.050,124647829.458
584706.157,5403849.883,2160.900,124647834.245
584707.999,5403744.781,2211.050,124647836.133
584578.209,5403729.227,2215.470,124647838.074
584717.977,5403581.442,2304.360,124647839.262
584586.251,5403588.881,2307.760,124647840.902
584339.620,5403625.219,2227.400,124647843.215
584435.122,5403434.760,2884.550,124647847.345
584328.028,5403320.841,2324.640,124647849.237
584334.499,5403204.689,2345.220,124647851.433
583984.077,5403041.660,2288.010,124647858.976
584191.630,5402923.778,2402.310,124647859.231
583988.707,5402936.368,2279.140,124647861.222
584073.119,5402796.741,2339.320,124647863.317
583808.361,5402919.980,2172.010,124647863.566
583794.242,5402714.879,2224.800,124647868.114
583570.952,5402590.520,2187.040,124647873.579
583569.790,5402537.472,2355.670,124647875.185
583280.959,5402547.721,2188.880,124647878.255
583179.001,5402392.550,2120.810,124647882.420
583036.893,5402393.251,1943.010,124647883.688
583019.087,5402151.951,1995.600,124647888.465
582967.241,5402058.708,2037.420,124647890.992
583250.789,5401864.897,2037.350,124647891.100
582752.572,5402131.613,1839.740,124647891.736
583172.129,5401869.001,1997.320,124647891.979
582640.880,5402128.402,1769.650,124647893.047
582729.370,5402017.268,1839.720,124647894.387
583170.521,5401734.153,1973.470,124647894.628
582643.569,5401995.889,1801.410,124647895.861
582731.311,5401843.081,1839.770,124647897.769
582986.810,5401629.360,1839.780,124647898.589
582406.740,5401888.769,1689.340,124647900.678
582909.312,5401478.943,1806.360,124647902.600
582783.860,5401718.211,1807.490,124647985.308
582897.889,5401725.073,1826.480,124647990.742
582784.219,5401912.252,2880.350,124647992.338
582755.168,5402259.257,1816.460,124647994.805
583041.969,5401987.387,1984.240,124647996.356
582867.350,5402433.869,1830.310,124647997.733
583167.721,5401994.639,2006.020,124647998.144
583151.462,5402261.950,2150.600,124648000.612
583629.290,5402595.551,2225.220,124648009.987
583677.893,5402830.503,2866.810,124648013.586
583937.751,5403185.408,2335.640,124648018.647
584060.541,5403055.768,2359.460,124648020.099
584032.042,5403123.050,2444.200,124648020.489
584195.361,5403200.540,2348.740,124648023.866
584197.621,5403315.343,2306.290,124648024.483
584327.099,5403450.389,2305.350,124648028.048
584456.241,5403453.830,2307.820,124648030.213
584580.779,5403846.051,2136.120,124648035.543
584565.529,5404110.452,2036.390,124648037.506
584837.190,5403857.699,2212.150,124648039.705
584680.153,5403883.797,2775.490,124648039.771
584941.077,5403881.072,2230.660,124648041.445
584837.669,5404109.920,2136.000,124648041.671
584955.593,5403980.918,2197.010,124648042.538
584958.720,5404113.573,2163.140,124648043.623
585103.192,5403967.327,2254.560,124648045.229
585088.148,5404253.021,2154.250,124648046.440
585228.878,5404102.408,2245.030,124648047.996
585224.162,5404235.638,2196.370,124648048.698
585233.077,5404373.930,2161.350,124648049.900
585376.778,5404382.018,2204.130,124648052.601
585407.828,5404326.003,2235.020,124648052.778
585350.832,5404638.241,2138.550,124648054.106
585553.731,5404419.809,2234.940,124648056.005
585602.419,5404524.099,2203.950,124648057.673
585386.588,5404509.837,2884.560,124648057.789
585601.910,5404654.817,2184.620,124648058.691
585736.533,5404564.997,2225.530,124648060.380
585607.893,5404902.081,2135.820,124648060.662
585736.283,5404630.798,2235.030,124648061.008
585744.009,5404761.370,2177.300,124648061.985
585734.578,5405167.362,2124.730,124648065.419
585860.081,5404902.762,2178.250,124648065.532
585858.130,5405032.423,2169.050,124648066.776
585861.050,5405165.032,2165.730,124648068.330
586006.338,5404903.028,2218.950,124648068.696
586041.131,5404986.103,2235.000,124648070.369
585979.841,5405164.041,2179.350,124648071.227
586258.642,5405301.388,2208.960,124648077.809
586390.720,5405292.341,2236.230,124648079.717
586400.798,5405701.767,2235.010,124648083.905
586520.108,5405570.159,2253.670,124648084.301
586517.007,5405702.722,2275.730,124648085.909
586635.052,5405826.282,2322.740,124648089.473
586538.221,5405805.072,2870.420,124648090.497
586747.851,5405835.499,2253.940,124648091.223
586888.662,5405968.507,2146.730,124648095.228
586753.879,5406208.610,2066.900,124648096.008
586894.128,5406236.201,2003.990,124648573.388
586751.327,5406338.581,2006.940,124648573.479
586727.508,5406317.410,2037.480,124648574.092
586922.928,5406151.752,2034.480,124648574.349
586385.928,5405834.000,2278.110,124648587.711
586087.003,5405601.193,2660.690,124648596.001
585834.407,5405599.001,2036.190,124648597.941
585861.727,5405426.101,2123.060,124648600.624
585731.589,5405426.012,2093.790,124648602.195
585564.140,5405264.361,2012.460,124648606.903
585608.460,5405159.087,2082.720,124648608.283
585475.277,5405154.030,2058.070,124648609.999
585482.397,5404897.608,2102.390,124648614.197
585237.502,5404981.759,2037.400,124648615.566
585353.388,5404891.078,2078.670,124648615.699
585479.930,5404769.673,2135.730,124648616.271
585225.627,5404886.649,2061.950,124648617.472
585350.701,5404765.310,2114.250,124648618.163
585147.579,5404865.773,2037.410,124648618.821
585225.312,5404762.681,2088.750,124648619.774
585102.081,5404748.342,2045.980,124648621.521
585225.129,5404635.653,2105.570,124648622.023
585352.838,5404517.561,2159.940,124648622.661
584978.329,5404624.528,2037.400,124648625.192
584926.731,5404550.748,2037.380,124648627.009
584820.337,5404518.180,2014.500,124648628.819
584964.669,5404368.919,2101.720,124648629.882
584842.078,5404355.358,2064.010,124648631.626
584787.882,5404375.212,2037.390,124648631.938
584964.619,5404240.581,2139.030,124648632.379
584768.202,5404318.551,2037.440,124648633.218
584690.289,5404267.581,2037.330,124648635.338
584605.788,5404210.083,2037.400,124648637.558
584711.919,5404103.611,2082.610,124648638.529
584845.978,5403981.571,2161.530,124648639.550
584592.099,5404099.258,2047.610,124648640.064
584460.081,5403970.362,2081.320,124648644.725
584451.340,5403843.668,2140.290,124648647.966
584590.430,5403708.463,2256.050,124648649.118
